tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 6 6 4
tmp, a, b: -6 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 22 -1073741824 -22
tmp, a, b: 9 -1073741824 -22
tmp, a, b: 2 -1073741824 -22
tmp, a, b: 22 22 4
tmp, a, b: -22 -1073741824 4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 11 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
